,date,station_id,station_name,station_lat,station_long,ride_counts,trip_minutes
287,2019-01-01,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,512,305722
288,2019-01-01,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,397,361798
289,2019-01-01,3052,Lewis Ave & Madison St,40.686312,-73.935775,398,304677
290,2019-01-01,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,200,195565
291,2019-01-01,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,306,264674
292,2019-01-01,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,337,1582192
293,2019-01-01,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,311,205588
294,2019-01-01,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,466,420103
295,2019-01-01,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,345,446864
296,2019-01-01,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,226,121778
297,2019-01-01,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,225,186719
298,2019-01-01,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,163,139056
299,2019-01-01,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,380,662194
300,2019-01-01,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,173,140604
301,2019-01-01,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,706,589297
302,2019-01-01,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,189,165282
303,2019-01-01,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,293,194529
304,2019-01-01,3067,Broadway & Whipple St,40.7016657,-73.9437303,464,344851
305,2019-01-01,3068,Humboldt St & Varet St,40.7031724,-73.940636,319,285523
306,2019-01-01,3069,Lorimer St & Broadway,40.70411791,-73.94818595,187,129326
307,2019-01-01,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,209,155054
308,2019-01-01,3071,Boerum St & Broadway,40.70538077,-73.94976519,319,277069
309,2019-01-01,3072,Leonard St & Boerum St,40.70583339,-73.94644578,272,229956
310,2019-01-01,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,570,498602
311,2019-01-01,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,200,157003
312,2019-01-01,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,479,333451
313,2019-01-01,3077,Stagg St & Union Ave,40.70877084,-73.95095259,846,2194569
314,2019-01-01,3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,924,482304
315,2019-01-01,3080,S 4 St & Rodney St,40.70934,-73.95608,670,587964
316,2019-01-01,3081,Graham Ave & Grand St,40.711863,-73.944024,562,460668
317,2019-01-01,3082,Hope St & Union Ave,40.71167351,-73.95141312,747,500571
318,2019-01-01,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,459,397655
